"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"ATmega16U2-M";;;
2;"R1,R2";"R_0603_1608Metric";2;"22R";;;
3;"J2,J4,J5,J3";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical";4;"AudioJack2_Ground_SwitchT";;;
4;"J10";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
5;"RV1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"R_Potentiometer";;;
6;"FID1,FID2";"Fiducial_1mm_Mask2mm";2;"Fiducial";;;
7;"C8";"C_0603_1608Metric";1;"10uF";;;
8;"C2,C4,C5,C1";"C_0603_1608Metric";4;"22pF";;;
9;"C3";"C_0603_1608Metric";1;"1uF";;;
10;"J6";"Deltron_691-0500";1;"DIN-5_180degree";;;
11;"C9,C10";"C_0603_1608Metric";2;"100nF";;;
12;"J8";"UJ40_CVG_SMT_TR";1;"USB_C_Receptacle";;;
13;"D2";"D_SOD-123";1;"D_Small_Filled";;;
14;"R10,R11,R9";"R_0603_1608Metric";3;"10k";;;
15;"R12,R13";"R_0603_1608Metric";2;"5.1k";;;
16;"R7";"R_0603_1608Metric";1;"2.2k";;;
17;"C7";"C_0805_2012Metric";1;"47uF";;;
18;"U3";"SOT-23-5";1;"LMH6609MF";;;
19;"C6";"C_0603_1608Metric";1;"10nF";;;
20;"D1";"D_SOD-123";1;"D_Schottky";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
22;"U2";"SOT-23";1;"MCP1792x-5002xCB XC62KN5002MR-G";;;
23;"R6,R8";"R_0603_1608Metric";2;"220R";;;
24;"J1";"Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical";1;"AudioJack3";;;
25;"R3";"R_0603_1608Metric";1;"1M";;;
26;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Bridged";;;
27;"J9";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"Conn_02x03_Odd_Even";;;
28;"J7";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
29;"X1";"Smile";1;"dummy";;;
